date,World,Europe,North America,Latin America,Asia,Pacific,Africa,Middle-East
1990,20313.3,4424.5,5280.72,855.64,4801.69,295.25,540.29,589.09
1991,20465.7,4400.3,5225.92,879.30,5029.47,296.43,546.71,603.93
1992,20422.9,4278.8,5317.82,898.14,5216.45,302.37,555.67,676.03
1993,20517.4,4190.4,5441.63,919.52,5506.00,306.67,566.09,726.23
1994,20596.7,4144.4,5530.77,972.13,5774.94,309.67,565.34,795.91
1995,21081.4,4200.4,5592.93,998.43,6148.34,318.58,595.13,813.36
1996,21566.6,4358.5,5777.15,1059.37,6269.55,336.95,618.85,845.86
1997,21911.5,4281.8,6040.60,1123.33,6403.21,348.65,651.10,893.57
1998,22061.6,4286.4,6108.48,1170.67,6426.23,363.66,666.96,892.48
1999,22222.2,4211.4,6173.51,1162.33,6540.90,372.76,669.80,919.17
2000,22838.4,4263.3,6338.50,1205.25,6814.27,379.17,683.34,961.49
2001,23154.3,4318.2,6277.18,1211.48,7022.57,382.42,742.95,1016.51
2002,23523.6,4313.7,6180.68,1211.89,7401.44,395.07,774.72,1060.76
2003,24580.0,4420.6,6265.65,1237.00,8095.43,394.41,809.09,1094.14
2004,25710.7,4432.9,6339.00,1298.63,8957.02,407.41,854.70,1161.77
2005,26643.4,4425.5,6363.20,1343.64,9681.12,417.38,877.21,1243.44
2006,27469.6,4467.9,6242.57,1378.16,10372.65,423.82,892.62,1318.11
2007,28429.0,4439.6,6381.58,1421.49,11063.50,433.11,932.01,1385.85
2008,28605.9,4353.9,6148.02,1487.94,11280.31,436.88,993.65,1474.26
2009,28319.6,4047.0,5726.44,1458.11,11891.48,438.64,983.47,1542.84
2010,29850.7,4177.8,5978.44,1551.61,12700.89,439.26,1020.05,1608.03
2011,30659.9,4053.0,5777.81,1587.06,13633.38,435.89,1021.01,1659.63
2012,31135.5,4024.0,5589.62,1652.39,14138.56,435.45,1079.98,1732.36
2013,31719.1,3932.4,5697.54,1672.82,14657.98,431.99,1124.62,1782.67
2014,31757.4,3759.5,5738.70,1692.00,14766.39,423.37,1169.27,1851.09
2015,31651.6,3817.1,5595.50,1681.40,14787.26,425.00,1163.22,1875.83
2016,31627.7,3828.3,5493.93,1650.41,14836.49,439.25,1185.24,1896.00
2017,32298.9,3906.3,5545.00,1624.31,15270.03,439.62,1202.32,1924.57
2018,32915.9,3838.9,5714.06,1571.62,15655.38,441.66,1326.43,1940.66
