date,World,Europe,North America,Latin America,Asia,Pacific,Africa,Middle-East
1990,11882,2900,3701,605,2247,190,319,244
1991,12160,2937,3784,641,2398,193,326,246
1992,12271,2926,3811,660,2541,195,329,280
1993,12560,2931,3944,693,2706,200,341,309
1994,12867,2976,4029,732,2934,204,353,330
1995,13309,3071,4142,770,3134,212,364,346
1996,13737,3164,4250,807,3310,217,386,366
1997,14027,3199,4271,855,3476,222,403,390
1998,14388,3280,4392,900,3556,236,409,421
1999,14795,3327,4477,933,3732,245,422,445
2000,15495,3438,4658,982,3995,253,446,472
2001,15611,3504,4455,975,4177,268,462,500
2002,16221,3539,4652,1005,4454,272,490,534
2003,16816,3621,4671,1061,4803,266,512,564
2004,17586,3705,4775,1108,5234,275,544,599
2005,18347,3763,4915,1157,5651,276,564,646
2006,19057,3813,4912,1202,6137,281,590,690
2007,19886,3858,4979,1256,6696,291,616,732
2008,20268,3884,5000,1305,6894,292,624,786
2009,20186,3708,4798,1310,7218,296,629,818
2010,21538,3866,4983,1375,7963,302,675,892
2011,22233,3814,4983,1445,8560,303,698,916
2012,22735,3842,4925,1496,8947,300,726,958
2013,23426,3814,4966,1533,9542,298,747,989
2014,23896,3744,5002,1556,9926,296,773,1057
2015,24333,3803,4985,1582,10224,301,796,1112
2016,25040,3844,4989,1599,10787,305,812,1147
2017,25691,3894,4948,1608,11322,306,836,1194
2018,26590,3883,5092,1611,12009,308,855,1219
