date,World,Europe,North America,Latin America,Asia,Pacific,Africa,Middle-East
1990,10135,2516,3146,507,1908,165,263,213
1991,10425,2537,3292,525,2033,168,268,213
1992,10514,2532,3308,544,2155,169,274,243
1993,10712,2525,3415,570,2291,175,284,267
1994,10990,2559,3505,599,2505,179,294,284
1995,11348,2632,3603,631,2646,184,305,297
1996,11704,2716,3696,646,2793,190,339,315
1997,11977,2759,3751,686,2917,196,353,332
1998,12259,2817,3851,722,2988,206,355,360
1999,12609,2862,3947,746,3122,212,363,382
2000,13172,2952,4093,787,3344,218,379,400
2001,13384,3022,4057,779,3483,227,383,422
2002,13827,3057,4144,803,3717,238,411,446
2003,14381,3130,4187,859,4020,234,427,477
2004,15027,3205,4248,901,4408,240,447,503
2005,15661,3264,4349,939,4783,241,472,528
2006,16314,3315,4353,980,5217,246,495,571
2007,17106,3354,4465,1023,5726,256,520,597
2008,17430,3386,4447,1065,5925,256,521,638
2009,17355,3228,4269,1065,6208,260,521,669
2010,18550,3376,4439,1129,6843,265,554,742
2011,19143,3327,4444,1183,7357,268,582,759
2012,19598,3338,4374,1234,7738,266,599,801
2013,20225,3318,4419,1277,8261,266,607,835
2014,20619,3254,4431,1298,8611,265,630,888
2015,20942,3310,4396,1309,8879,270,646,903
2016,21615,3359,4422,1322,9378,273,660,950
2017,22189,3396,4404,1329,9848,274,679,983
2018,22964,3411,4499,1338,10446,276,696,997
