date,World,Europe,North America,Latin America,Asia,Pacific,Africa,Middle-East
1990,19.76,18.08,18.53,66.07,17.61,22.56,18.40,4.88
1991,19.69,18.21,18.06,66.14,16.81,22.82,19.34,4.56
1992,19.61,19.13,17.47,66.39,15.67,21.39,18.17,4.87
1993,20.24,19.70,17.85,67.77,15.98,22.66,17.41,4.46
1994,19.98,19.64,17.22,66.67,15.01,23.11,17.06,3.46
1995,20.32,19.66,18.10,66.40,15.37,22.97,17.05,3.22
1996,19.99,18.74,19.07,66.13,14.22,21.68,17.03,3.10
1997,19.87,19.17,18.41,65.07,14.17,20.26,16.82,2.84
1998,19.53,19.63,16.64,62.73,14.64,19.75,17.20,2.65
1999,19.15,19.76,16.30,61.79,13.78,18.56,17.90,1.96
2000,18.82,20.13,15.55,61.70,13.34,18.77,17.78,1.71
2001,18.35,19.86,14.12,58.33,14.22,16.86,18.53,1.91
2002,18.27,18.89,15.75,58.89,13.40,17.48,17.91,2.22
2003,17.85,17.97,15.73,57.79,13.11,17.65,17.16,2.80
2004,18.26,19.27,15.40,58.02,13.58,18.45,17.25,2.77
2005,18.40,19.74,15.55,58.93,13.60,17.83,16.96,4.28
2006,18.53,19.82,15.98,59.31,13.87,18.21,16.96,4.23
2007,18.25,20.51,15.40,58.70,13.55,17.70,16.43,3.83
2008,18.91,21.82,16.10,57.85,14.87,17.07,16.42,1.53
2009,19.67,23.58,17.40,58.38,15.00,17.39,16.87,1.63
2010,19.89,25.21,16.77,57.48,15.65,18.61,17.44,2.03
2011,20.22,25.22,19.03,58.43,15.16,20.42,17.09,2.20
2012,21.17,28.37,18.99,55.80,16.88,20.00,16.58,2.28
2013,21.95,30.91,19.78,53.94,17.54,22.43,17.00,2.50
2014,22.63,32.28,20.00,53.83,18.93,24.43,17.95,2.00
2015,23.05,33.61,20.32,52.19,19.77,23.49,17.61,1.80
2016,24.11,33.97,21.91,54.39,20.98,24.77,17.05,2.18
2017,24.83,33.81,24.02,56.58,21.59,25.48,17.51,1.95
2018,25.60,36.40,23.78,58.49,22.36,28.94,17.78,2.11
